Subject,Start Date,Start Time,End Date,End Time,Description,CupId,CupRarity
tesu,2024/12/15,10:02,2024/12/14,0:00,Mycryptoheroes Duel,1049,4
tesu,2024/12/15,10:03,2024/12/14,0:00,Mycryptoheroes Duel,1049,4
Red Dragon - Qualify End,2024/12/15,21:30,2024/12/15,22:00,Mycryptoheroes Duel,1048,5
Challenge Cup - ONI Time Start,2024/12/18,22:00,2024/12/18,23:00,Mycryptoheroes Duel,1057,1
Dragon Egg - ONI Time Start,2024/12/19,22:00,2024/12/19,23:00,Mycryptoheroes Duel,1056,2
Baby Dragon - ONI Time Start,2024/12/20,22:00,2024/12/20,23:00,Mycryptoheroes Duel,1055,3
Blue Dragon - ONI Time Start,2024/12/21,22:00,2024/12/21,23:00,Mycryptoheroes Duel,1054,4
Red Dragon - ONI Time Start,2024/12/22,22:00,2024/12/22,23:00,Mycryptoheroes Duel,1053,5
Battle Royal Blue - Start,2024/12/31,6:00,2024/12/31,9:00,Mycryptoheroes Duel,1059,4
Battle Royal Blue - Term1 End,2024/12/31,20:00,2024/12/31,23:00,Mycryptoheroes Duel,1059,4
Battle Royal Blue - Term2 End,2025/1/1,20:00,2025/1/1,23:00,Mycryptoheroes Duel,1059,4
Battle Royal Blue - Term3 End,2025/1/2,20:00,2025/1/2,23:00,Mycryptoheroes Duel,1059,4
Battle Royal Egg - Start,2024/12/24,6:00,2024/12/24,9:00,Mycryptoheroes Duel,1061,2
Battle Royal Egg - Term1 End,2024/12/24,20:00,2024/12/24,23:00,Mycryptoheroes Duel,1061,2
Battle Royal Egg - Term2 End,2024/12/25,20:00,2024/12/25,23:00,Mycryptoheroes Duel,1061,2
Battle Royal Egg - Term3 End,2024/12/26,20:00,2024/12/26,23:00,Mycryptoheroes Duel,1061,2
Battle Royal Baby - Start,2024/12/27,6:00,2024/12/27,9:00,Mycryptoheroes Duel,1060,3
Battle Royal Baby - Term1 End,2024/12/27,20:00,2024/12/27,23:00,Mycryptoheroes Duel,1060,3
Battle Royal Baby - Term2 End,2024/12/28,20:00,2024/12/28,23:00,Mycryptoheroes Duel,1060,3
Battle Royal Baby - Term3 End,2024/12/29,20:00,2024/12/29,23:00,Mycryptoheroes Duel,1060,3
Battle Royal Red - Start,2025/1/3,6:00,2025/1/3,9:00,Mycryptoheroes Duel,1058,5
Battle Royal Red - Term1 End,2025/1/3,20:00,2025/1/3,23:00,Mycryptoheroes Duel,1058,5
Battle Royal Red - Term2 End,2025/1/4,20:00,2025/1/4,23:00,Mycryptoheroes Duel,1058,5
Battle Royal Red - Term3 End,2025/1/5,20:00,2025/1/5,23:00,Mycryptoheroes Duel,1058,5
